station_origin,station_destination,flows,population,jobs,distance
Acton Town,Holloway Road,7,3745,1696,17233.65175
Holloway Road,Acton Town,4,3047,2202,17233.65175
Hampstead Heath,New Cross Gate,2,915,1340,17235.0002
New Cross Gate,Hampstead Heath,1,1702,2792,17235.0002
High Barnet,King's Cross St. Pancras,91,3271,33330,17235.85074
King's Cross St. Pancras,High Barnet,17,28307,953,17235.85074
Baker Street,North Harrow,3,7444,190,17236.64072
North Harrow,Baker Street,47,1912,14973,17236.64072
Parsons Green,Sudbury Hill,0,4361,277,17238.32033
Sudbury Hill,Parsons Green,12,1337,2711,17238.32033
Golders Green,Ravenscourt Park,3,4792,1895,17240.534
Ravenscourt Park,Golders Green,1,1554,1871,17240.534
Grange Hill,Stepney Green,2,654,1879,17243.38875
Stepney Green,Grange Hill,0,2731,76,17243.38875
North Harrow,Willesden Junction,1,1912,4165,17244.36655
Willesden Junction,North Harrow,0,5266,190,17244.36655
Kennington,Redbridge,0,3583,198,17245.01733
Redbridge,Kennington,0,2062,1161,17245.01733
King's Cross St. Pancras,Perivale,7,28307,532,17245.93323
Perivale,King's Cross St. Pancras,20,1624,33330,17245.93323
Greenford,Piccadilly Circus,14,2711,13641,17246.91311
Piccadilly Circus,Greenford,0,1037,1157,17246.91311
Highgate,Stonebridge Park,0,4589,729,17248.26661
Stonebridge Park,Highgate,0,1482,856,17248.26661
Blackfriars,Wembley Central,0,6781,1327,17250.48191
Wembley Central,Blackfriars,6,2246,10849,17250.48191
Perivale,West Hampstead,1,1624,5856,17251.91554
West Hampstead,Perivale,2,10371,532,17251.91554
Bromley-by-Bow,Kensal Green,0,2555,472,17252.92192
Kensal Green,Bromley-by-Bow,1,1849,1613,17252.92192
Neasden,Seven Sisters,6,2333,10191,17252.93825
Seven Sisters,Neasden,8,18780,732,17252.93825
Edgware,Piccadilly Circus,8,3405,13641,17254.71318
Piccadilly Circus,Edgware,0,1037,772,17254.71318
Finsbury Park,Woodside Park,2,24735,745,17255.57818
Woodside Park,Finsbury Park,2,3093,6769,17255.57818
Balham,Chiswick Park,1,9619,1517,17255.67024
Chiswick Park,Balham,0,1283,3814,17255.67024
Arsenal,Burnt Oak,0,2158,649,17256.9144
Ladbroke Grove,Tooting Bec,0,2371,1239,17257.10903
Tooting Bec,Ladbroke Grove,1,6734,2131,17257.10903
Clapham Junction,Hoxton,58,6931,2181,17258.31979
Hoxton,Clapham Junction,26,1041,4969,17258.31979
Blackfriars,Woodford,0,6781,706,17258.83243
Woodford,Blackfriars,12,4868,10849,17258.83243
Bermondsey,Hendon Central,5,5102,1878,17258.85315
Hendon Central,Bermondsey,4,4059,3172,17258.85315
St. John's Wood,Colindale,0,3240,2081,17258.97384
Earl's Court,Plaistow,5,8414,1049,17259.32365
Plaistow,Earl's Court,19,3634,6613,17259.32365
Wembley Park,West Brompton,5,7070,5859,17259.49154
West Brompton,Wembley Park,1,3831,5759,17259.49154
Earl's Court,Wembley Park,7,8414,5759,17260.49123
Wembley Park,Earl's Court,11,7070,6613,17260.49123
Greenford,Regent's Park,8,2711,3364,17261.13366
Regent's Park,Greenford,0,371,1157,17261.13366
East Finchley,Tottenham Hale,5,5840,3239,17261.1839
Tottenham Hale,East Finchley,8,8867,1253,17261.1839
Kingsbury,Maida Vale,0,2727,949,17261.49289
Maida Vale,Kingsbury,2,2142,1018,17261.49289
Arnos Grove,Sloane Square,8,3046,8229,17262.94927
Sloane Square,Arnos Grove,0,4957,748,17262.94927
Charing Cross,Northwick Park,3,6491,1713,17263.10933
Northwick Park,Charing Cross,11,2114,7016,17263.10933
Greenford,Victoria,84,2711,33251,17264.676
Victoria,Greenford,29,37517,1157,17264.676
Hendon Central,Stockwell,2,4059,1623,17266.0464
Stockwell,Hendon Central,7,10667,1878,17266.0464
Hyde Park Corner,Totteridge & Whetstone,0,259,287,17266.22199
Totteridge & Whetstone,Hyde Park Corner,2,2301,2410,17266.22199
Highams Park,West Hampstead,0,2941,5856,17267.25479
West Hampstead,Highams Park,0,10371,390,17267.25479
Barking,Piccadilly Circus,23,8200,13641,17267.66735
Piccadilly Circus,Barking,10,1037,7004,17267.66735
Kilburn,Northwood,4,4630,1018,17268.6187
Northwood,Kilburn,7,2027,1953,17268.6187
Covent Garden,Edgware,0,424,772,17269.68571
Edgware,Covent Garden,2,3405,4355,17269.68571
Camden Road,Honor Oak Park,1,1207,341,17270.43606
Honor Oak Park,Camden Road,6,1750,3784,17270.43606
Southfields,Whitechapel,24,5219,17633,17270.50942
Whitechapel,Southfields,8,12281,1351,17270.50942
Ruislip,West Hampstead,2,1305,5856,17271.99923
West Hampstead,Ruislip,3,10371,257,17271.99923
West Ham,West Kensington,5,8879,1345,17273.55345
West Kensington,West Ham,1,2715,5487,17273.55345
Finchley Road,Ruislip Manor,7,4738,408,17273.94931
Ruislip Manor,Finchley Road,34,1399,3417,17273.94931
Blackhorse Road,Holland Park,18,8485,2063,17274.96325
Holland Park,Blackhorse Road,0,1542,2955,17274.96325
Colindale,Tower Hill,24,5389,8286,17276.54206
Tower Hill,Colindale,6,8501,2081,17276.54206
Hackney Downs,Theobalds Grove,2,843,182,17276.86988
Theobalds Grove,Hackney Downs,11,523,835,17276.86988
Highbury & Islington,Roding Valley,0,23714,84,17277.47645
Queensway,South Wimbledon,0,2714,1361,17279.78916
East Ham,Pimlico,11,7902,5585,17280.0902
Pimlico,East Ham,2,3917,2062,17280.0902
Chalk Farm,Kew Gardens,0,2391,792,17280.35677
Tooting Bec,Turnham Green,6,6734,1515,17280.46269
Turnham Green,Tooting Bec,0,3650,1239,17280.46269
Hyde Park Corner,Kingsbury,0,259,1018,17281.82919
Kingsbury,Hyde Park Corner,5,2727,2410,17281.82919
Kensal Rise,Wood Street,0,1941,404,17282.07072
Wood Street,Kensal Rise,0,1367,1376,17282.07072
Hammersmith,West Harrow,1,11818,122,17282.33558
West Harrow,Hammersmith,23,1021,18250,17282.33558
Kennington,Mill Hill East,1,3583,681,17282.90545
Mill Hill East,Kennington,2,1293,1161,17282.90545
Ruislip Manor,Stanmore,2,1399,983,17283.31899
Stanmore,Ruislip Manor,1,2641,408,17283.31899
Eastcote,Rickmansworth,3,2525,937,17283.55568
Rickmansworth,Eastcote,1,1258,364,17283.55568
Neasden,Turnpike Lane,1,2333,992,17284.82284
Turnpike Lane,Neasden,2,6690,732,17284.82284
Shepherd's Bush,Stratford,168,10511,55954,17285.75209
Stratford,Shepherd's Bush,299,59311,9890,17285.75209
Chigwell,East Ham,0,471,2062,17286.87173
East Ham,Chigwell,1,7902,148,17286.87173
Park Royal,St. John's Wood,0,559,3982,17287.01542
Notting Hill Gate,Sudbury Hill,0,4945,277,17287.33658
Sudbury Hill,Notting Hill Gate,3,1337,5490,17287.33658
Bermondsey,Wimbledon Park,0,5102,596,17287.5088
Wimbledon Park,Bermondsey,1,1664,3172,17287.5088
Liverpool Street,Wembley Central,0,31473,1327,17290.11258
Wembley Central,Liverpool Street,14,2246,61122,17290.11258
Mill Hill East,Notting Hill Gate,5,1293,5490,17290.4532
Notting Hill Gate,Mill Hill East,3,4945,681,17290.4532
Holloway Road,Totteridge & Whetstone,0,3047,287,17293.21805
Totteridge & Whetstone,Holloway Road,1,2301,1696,17293.21805
Stonebridge Park,Watford Junction,24,1482,1367,17293.31393
Watford Junction,Stonebridge Park,12,491,729,17293.31393
Barbican,Becontree,2,1239,456,17293.86731
Becontree,Barbican,9,2329,9134,17293.86731
Ruislip,South Ealing,1,1305,670,17293.94283
South Ealing,Ruislip,0,2176,257,17293.94283
Angel,South Kenton,0,4199,261,17294.04871
South Kenton,Angel,0,1073,8103,17294.04871
Park Royal,Kilburn,0,559,1953,17294.20297
Finchley Road,Plaistow,1,4738,1049,17295.59949
Plaistow,Finchley Road,5,3634,3417,17295.59949
Highbury & Islington,Northwick Park,13,23714,1713,17295.7408
Northwick Park,Highbury & Islington,6,2114,25385,17295.7408
Kentish Town,Leytonstone,0,2414,1844,17295.90719
Leytonstone,Kentish Town,1,6690,3404,17295.90719
Preston Road,Southwark,25,2358,10326,17296.16161
Southwark,Preston Road,6,4882,411,17296.16161
Ladbroke Grove,South Harrow,0,2371,387,17297.25076
South Harrow,Ladbroke Grove,5,1516,2131,17297.25076
East Putney,Highgate,0,5448,856,17298.01873
Highgate,East Putney,1,4589,1877,17298.01873
West Kensington,Wood Green,1,2715,2146,17298.08824
Wood Green,West Kensington,4,6667,1345,17298.08824
Cannon Street,Woodside Park,0,3874,745,17298.45747
Woodside Park,Cannon Street,3,3093,4698,17298.45747
Lambeth North,Redbridge,0,1114,198,17299.63005
Redbridge,Lambeth North,1,2062,1319,17299.63005
London Bridge,Northfields,4,32597,864,17299.84065
Northfields,London Bridge,43,2952,29930,17299.84065
Edgware,Green Park,30,3405,26754,17301.44958
Green Park,Edgware,0,2066,772,17301.44958
Edgware Road,Leytonstone,0,2841,1844,17302.07177
Leytonstone,Edgware Road,15,6690,6868,17302.07177
Euston,Northwick Park,0,17796,1713,17303.50816
Richmond,Wimbledon Park,0,5157,596,17304.60425
Wimbledon Park,Richmond,0,1664,5397,17304.60425
Chancery Lane,Oakwood,0,1148,423,17304.95083
Oakwood,Chancery Lane,16,1772,15391,17304.95083
Kennington,Northfields,1,3583,864,17305.26315
Northfields,Kennington,0,2952,1161,17305.26315
Debden,Plaistow,0,1636,1049,17305.6586
Plaistow,Debden,2,3634,865,17305.6586
Charing Cross,Redbridge,0,6491,198,17307.70789
Redbridge,Charing Cross,4,2062,7016,17307.70789
Seven Sisters,Snaresbrook,0,18780,512,17308.89316
Snaresbrook,Seven Sisters,0,1780,10191,17308.89316
Camden Town,South Ealing,1,3330,670,17309.46214
South Ealing,Camden Town,6,2176,6348,17309.46214
Ealing Common,Moorgate,2,2003,24574,17310.58687
Moorgate,Ealing Common,0,4416,915,17310.58687
Northwick Park,Russell Square,3,2114,5172,17310.63919
Russell Square,Northwick Park,0,1509,1713,17310.63919
Canary Wharf,Kensal Green,0,14632,472,17310.74769
Kensal Green,Canary Wharf,25,1849,58772,17310.74769
Ealing Broadway,London Bridge,173,12853,29930,17310.87606
London Bridge,Ealing Broadway,82,32597,4846,17310.87606
Queensway,Woodside Park,1,2714,745,17313.19312
Woodside Park,Queensway,7,3093,1882,17313.19312
Heathrow Terminals 2 & 3,Stamford Brook,3,2199,784,17313.86973
Stamford Brook,Heathrow Terminals 2 & 3,10,1837,2406,17313.86973
Hounslow East,Paddington,24,2173,20198,17313.96956
Paddington,Hounslow East,5,23381,843,17313.96956
Rickmansworth,Wembley Park,2,1258,5759,17314.221
Wembley Park,Rickmansworth,29,7070,937,17314.221
Kenton,Sloane Square,1,1049,8229,17314.58257
Sloane Square,Kenton,0,4957,768,17314.58257
Bow Road,Putney Bridge,7,4005,2494,17315.42446
Putney Bridge,Bow Road,1,2950,1193,17315.42446
Ealing Broadway,Kennington,7,12853,1161,17316.29856
Kennington,Ealing Broadway,11,3583,4846,17316.29856
Manor House,Wembley Park,9,5459,5759,17316.32942
Wembley Park,Manor House,5,7070,1311,17316.32942
Edgware,Farringdon,42,3405,25592,17316.33557
Farringdon,Edgware,0,5052,772,17316.33557
Manor House,Stonebridge Park,1,5459,729,17317.30318
Stonebridge Park,Manor House,0,1482,1311,17317.30318
Camden Town,Wimbledon,0,3330,6295,17318.1613
Wimbledon,Camden Town,0,7073,6348,17318.1613
Seven Sisters,Wanstead,0,18780,419,17318.1931
Wanstead,Seven Sisters,0,1985,10191,17318.1931
Harrow & Wealdstone,Marylebone,8,1741,4250,17319.06343
Marylebone,Harrow & Wealdstone,4,6125,1335,17319.06343
Boston Manor,Euston,5,1181,16800,17319.66077
Euston,Boston Manor,7,17796,892,17319.66077
Ruislip Manor,Stamford Brook,1,1399,784,17319.94907
Stamford Brook,Ruislip Manor,0,1837,408,17319.94907
Chancery Lane,North Wembley,0,1148,365,17320.40355
North Wembley,Chancery Lane,6,1087,15391,17320.40355
Colindale,London Bridge,164,5389,29930,17323.53999
London Bridge,Colindale,158,32597,2081,17323.53999
Bow Road,Goldhawk Road,1,4005,370,17325.21862
Goldhawk Road,Bow Road,0,1347,1193,17325.21862
Great Portland Street,West Harrow,0,1136,122,17325.70013
West Harrow,Great Portland Street,32,1021,6936,17325.70013
Covent Garden,Redbridge,0,424,198,17326.08687
Redbridge,Covent Garden,3,2062,4355,17326.08687
Preston Road,St. Paul's,19,2358,13446,17326.33589
St. Paul's,Preston Road,0,878,411,17326.33589
Boston Manor,Chancery Lane,4,1181,15391,17329.45172
Chancery Lane,Boston Manor,0,1148,892,17329.45172
Bromley-by-Bow,Parsons Green,1,2555,2711,17329.73202
Parsons Green,Bromley-by-Bow,0,4361,1613,17329.73202
Finchley Road,Tooting Broadway,4,4738,4506,17330.59539
Tooting Broadway,Finchley Road,11,9546,3417,17330.59539
Perivale,Waterloo,13,1624,23466,17332.04558
Waterloo,Perivale,8,67372,532,17332.04558
Balham,Manor House,0,9619,1311,17332.20707
Manor House,Balham,4,5459,3814,17332.20707
Grange Hill,Upton Park,0,654,1642,17333.53864
Upton Park,Grange Hill,0,5963,76,17333.53864
Harringay Green Lanes,Turkey Street,0,507,458,17333.84607
Edmonton Green,Finchley Road & Frognal,2,2079,1529,17333.97876
Finchley Road & Frognal,Edmonton Green,0,1136,783,17333.97876
Barbican,Hanger Lane,0,1239,1493,17334.9564
Hanger Lane,Barbican,0,1996,9134,17334.9564
Blackhorse Road,Kensal Green,1,8485,472,17336.80376
Kensal Green,Blackhorse Road,0,1849,2955,17336.80376
Arnos Grove,Finchley Road,2,3046,3417,17338.63424
Finchley Road,Arnos Grove,0,4738,748,17338.63424
Archway,Southfields,1,5642,1351,17338.70203
Southfields,Archway,1,5219,2193,17338.70203
Barons Court,Hatton Cross,26,4052,1219,17338.81838
Hatton Cross,Barons Court,15,1357,2956,17338.81838
Barking,Upper Holloway,155,8200,898,17338.93051
Upper Holloway,Barking,44,372,7004,17338.93051
Maida Vale,Tooting Broadway,3,2142,4506,17339.6683
Tooting Broadway,Maida Vale,5,9546,949,17339.6683
High Street Kensington,Hounslow West,1,2159,401,17341.00289
Hounslow West,High Street Kensington,6,2073,5427,17341.00289
Crouch Hill,Kew Gardens,4,390,792,17343.18525
Kew Gardens,Crouch Hill,1,2241,404,17343.18525
Shepherd's Bush,West Ham,5,10511,5487,17343.47081
West Ham,Shepherd's Bush,15,8879,9890,17343.47081
Old Street,Totteridge & Whetstone,2,5364,287,17344.19372
Totteridge & Whetstone,Old Street,69,2301,15897,17344.19372
Queensway,Upton Park,2,2714,1642,17344.64913
Upton Park,Queensway,13,5963,1882,17344.64913
Perivale,St. John's Wood,2,1624,3982,17345.0674
St. John's Wood,Perivale,0,3240,532,17345.0674
Manor House,South Woodford,0,5459,766,17346.54899
South Woodford,Manor House,0,4138,1311,17346.54899
Bow Road,Ravenscourt Park,5,4005,1895,17347.20578
Ravenscourt Park,Bow Road,1,1554,1193,17347.20578
Arnos Grove,Maida Vale,2,3046,949,17347.70715
Maida Vale,Arnos Grove,0,2142,748,17347.70715
Aldgate,Woodside Park,0,2886,745,17348.48682
Woodside Park,Aldgate,26,3093,7782,17348.48682
Upper Holloway,Southbury,0,372,538,17353.74348
High Street Kensington,Plaistow,1,2159,1049,17354.32123
Plaistow,High Street Kensington,8,3634,5427,17354.32123
Pimlico,Walthamstow Central,12,3917,5271,17354.90929
Walthamstow Central,Pimlico,202,17499,5585,17354.90929
Acton Town,Clapham South,2,3745,1513,17355.20489
Clapham South,Acton Town,1,6636,2202,17355.20489
Brentwood,Ilford,30,2174,1665,17355.89304
Ilford,Brentwood,40,5298,742,17355.89304
Holloway Road,Preston Road,0,3047,411,17357.00249
Preston Road,Holloway Road,2,2358,1696,17357.00249
Barking,Euston Square,110,8200,8093,17357.80198
Euston Square,Barking,20,4926,7004,17357.80198
Notting Hill Gate,Ruislip Gardens,2,4945,167,17358.574
Ruislip Gardens,Notting Hill Gate,30,965,5490,17358.574
Leyton,Warwick Avenue,5,7651,1174,17359.48543
Warwick Avenue,Leyton,0,2388,1447,17359.48543
Borough,South Ealing,0,1346,670,17361.48923
South Ealing,Borough,0,2176,3254,17361.48923
Hounslow East,Hyde Park Corner,18,2173,2410,17361.59831
Hyde Park Corner,Hounslow East,6,259,843,17361.59831
Holland Park,Plaistow,1,1542,1049,17361.62688
Plaistow,Holland Park,6,3634,2063,17361.62688
Greenford,Queen's Park,1,2711,2167,17362.02607
Queen's Park,Greenford,0,5249,1157,17362.02607
Clapham North,East Ham,0,2846,2062,17362.35752
East Ham,Clapham North,2,7902,1238,17362.35752
West Hampstead,Wimbledon Park,0,10371,596,17362.61969
Wimbledon Park,West Hampstead,0,1664,5856,17362.61969
Rayners Lane,Shepherd's Bush Market,1,3452,416,17363.1019
Shepherd's Bush Market,Rayners Lane,0,1798,426,17363.1019
Colliers Wood,Mile End,10,5553,3759,17363.50681
Mile End,Colliers Wood,2,7145,865,17363.50681
Kingsbury,Lancaster Gate,6,2727,1820,17364.09938
Lancaster Gate,Kingsbury,0,3514,1018,17364.09938
Leyton,Royal Oak,1,7651,856,17364.156
Royal Oak,Leyton,0,1409,1447,17364.156
Highbury & Islington,Sydenham,39,23714,515,17365.42671
Sydenham,Highbury & Islington,87,1826,25385,17365.42671
Chalk Farm,Colliers Wood,0,2391,865,17366.07875
Colliers Wood,Chalk Farm,3,5553,1329,17366.07875
Charing Cross,Edgware,3,6491,772,17366.22923
Edgware,Charing Cross,38,3405,7016,17366.22923
East Putney,Manor House,3,5448,1311,17367.0553
Manor House,East Putney,5,5459,1877,17367.0553
Ladbroke Grove,West Ham,3,2371,5487,17367.23908
West Ham,Ladbroke Grove,10,8879,2131,17367.23908
Embankment,Kingsbury,3,4081,1018,17367.34275
Kingsbury,Embankment,8,2727,10220,17367.34275
Bromley-by-Bow,Wood Lane,3,2555,1578,17368.43615
Wood Lane,Bromley-by-Bow,1,1088,1613,17368.43615
Hampstead Heath,Woodgrange Park,0,915,242,17369.06125
Woodgrange Park,Hampstead Heath,2,530,2792,17369.06125
Cockfosters,Euston,10,1000,16800,17369.88011
Euston,Cockfosters,3,17796,262,17369.88011
Borough,Wimbledon,0,1346,6295,17370.18839
Wimbledon,Borough,0,7073,3254,17370.18839
Kennington,South Woodford,1,3583,766,17371.15257
South Woodford,Kennington,3,4138,1161,17371.15257
Borough,Hanger Lane,0,1346,1493,17371.53024
Hanger Lane,Borough,3,1996,3254,17371.53024
Covent Garden,Oakwood,0,424,423,17372.40769
Oakwood,Covent Garden,30,1772,4355,17372.40769
Ealing Common,Tower Hill,14,2003,8286,17373.48785
Tower Hill,Ealing Common,2,8501,915,17373.48785
Cannon Street,South Ealing,1,3874,670,17374.22436
South Ealing,Cannon Street,9,2176,4698,17374.22436
East Finchley,Shepherd's Bush Market,0,5840,416,17374.37294
Shepherd's Bush Market,East Finchley,0,1798,1253,17374.37294
Ealing Common,Liverpool Street,21,2003,61122,17375.26009
Liverpool Street,Ealing Common,1,31473,915,17375.26009
Rayners Lane,West Kensington,6,3452,1345,17375.73138
West Kensington,Rayners Lane,0,2715,426,17375.73138
Archway,Wembley Central,0,5642,1327,17376.16028
Wembley Central,Archway,0,2246,2193,17376.16028
Finchley Central,Kensal Green,0,6268,472,17376.41296
Kensal Green,Finchley Central,0,1849,1921,17376.41296
Cockfosters,Russell Square,24,1000,5172,17377.01115
Russell Square,Cockfosters,3,1509,262,17377.01115
Canonbury,Chingford,0,2410,237,17377.86734
Chingford,Canonbury,0,2040,846,17377.86734
Finchley Road,Northwood Hills,8,4738,488,17378.40747
Northwood Hills,Finchley Road,40,1454,3417,17378.40747
Finchley Central,Shepherd's Bush,18,6268,9890,17379.66364
Shepherd's Bush,Finchley Central,5,10511,1921,17379.66364
Preston Road,Sloane Square,8,2358,8229,17380.26232
Sloane Square,Preston Road,0,4957,411,17380.26232
Liverpool Street,Southbury,70,31473,538,17381.04429
Southbury,Liverpool Street,141,548,61122,17381.04429
Harlesden,Watford High Street,11,1500,790,17382.22517
Watford High Street,Harlesden,13,467,1668,17382.22517
Cannon Street,Wimbledon,11,3874,6295,17382.92352
Wimbledon,Cannon Street,26,7073,4698,17382.92352
Angel,Kingsbury,0,4199,1018,17384.3598
Kingsbury,Angel,4,2727,8103,17384.3598
Sloane Square,Woodside Park,0,4957,745,17384.58981
Woodside Park,Sloane Square,7,3093,8229,17384.58981
Northwood Hills,Stanmore,1,1454,983,17387.77716
Stanmore,Northwood Hills,1,2641,488,17387.77716
Blackfriars,Park Royal,1,6781,1552,17388.53187
Park Royal,Blackfriars,0,559,10849,17388.53187
Ruislip,Turnham Green,4,1305,1515,17388.54584
Turnham Green,Ruislip,1,3650,257,17388.54584
Kew Gardens,Moorgate,8,2241,24574,17389.02073
Moorgate,Kew Gardens,0,4416,792,17389.02073
Archway,Leyton,0,5642,1447,17390.20074
Leyton,Archway,2,7651,2193,17390.20074
Marble Arch,Queensbury,0,1808,439,17391.49243
Queensbury,Marble Arch,10,2905,6145,17391.49243
Hounslow Central,Sloane Square,12,2213,8229,17395.73615
Sloane Square,Hounslow Central,1,4957,708,17395.73615
Tottenham Hale,Willesden Junction,2,8867,4165,17398.7606
Willesden Junction,Tottenham Hale,1,5266,3239,17398.7606
Holborn,Northwick Park,0,1662,1713,17398.83478
Northwick Park,Holborn,21,2114,22346,17398.83478
Camden Town,Oakwood,1,3330,423,17399.50058
Oakwood,Camden Town,7,1772,6348,17399.50058
Redbridge,Russell Square,6,2062,5172,17399.58061
Russell Square,Redbridge,0,1509,198,17399.58061
Burnt Oak,Liverpool Street,24,3021,61122,17400.49165
Liverpool Street,Burnt Oak,5,31473,649,17400.49165
Chiswick Park,Finsbury Park,0,1283,6769,17400.94433
Finsbury Park,Chiswick Park,14,24735,1517,17400.94433
Canary Wharf,Colliers Wood,4,14632,865,17404.25312
Colliers Wood,Canary Wharf,121,5553,58772,17404.25312
Camden Road,Clapham Junction,6,1207,4969,17404.34774
Clapham Junction,Camden Road,10,6931,3784,17404.34774
South Ruislip,West Brompton,6,1398,5859,17405.69702
West Brompton,South Ruislip,0,3831,289,17405.69702
Earl's Court,South Ruislip,0,8414,289,17406.69671
South Ruislip,Earl's Court,6,1398,6613,17406.69671
Walthamstow Queens Road,Willesden Junction,5,1001,4165,17407.29191
Willesden Junction,Walthamstow Queens Road,5,5266,1267,17407.29191
Neasden,Tottenham Hale,1,2333,3239,17407.9334
Tottenham Hale,Neasden,2,8867,732,17407.9334
Old Street,Preston Road,0,5364,411,17407.97816
Preston Road,Old Street,11,2358,15897,17407.97816
Sudbury Town,Victoria,10,1493,33251,17409.2104
Victoria,Sudbury Town,0,37517,218,17409.2104
East Ham,Kentish Town,4,7902,3404,17410.9625
Kentish Town,East Ham,1,2414,2062,17410.9625
Shepherd's Bush Market,Tottenham Hale,1,1798,3239,17410.96343
Tottenham Hale,Shepherd's Bush Market,5,8867,416,17410.96343
Colindale,Kennington,5,5389,1161,17411.63517
Kennington,Colindale,10,3583,2081,17411.63517
Becontree,Bermondsey,9,2329,3172,17411.96227
Bermondsey,Becontree,1,5102,456,17411.96227
Harlesden,Homerton,0,1500,1998,17412.42619
Homerton,Harlesden,3,3501,1668,17412.42619
South Wimbledon,Stepney Green,2,3783,1879,17412.70257
Stepney Green,South Wimbledon,1,2731,1361,17412.70257
Bank and Monument,Roding Valley,0,29494,84,17413.50684
Roding Valley,Bank and Monument,34,407,78549,17413.50684
Canada Water,Morden,10,27026,1447,17414.10129
Morden,Canada Water,8,8035,20443,17414.10129
Hanger Lane,Moorgate,3,1996,24574,17415.11587
Moorgate,Hanger Lane,0,4416,1493,17415.11587
Latimer Road,Preston Road,0,861,411,17416.43921
Preston Road,Latimer Road,1,2358,1109,17416.43921
Blackfriars,Preston Road,0,6781,411,17416.94115
Preston Road,Blackfriars,9,2358,10849,17416.94115
East Ham,Edgware Road,37,7902,6868,17417.12708
Edgware Road,East Ham,2,2841,2062,17417.12708
Euston Square,Kenton,0,4926,768,17417.12812
Colindale,Notting Hill Gate,12,5389,5490,17419.18292
Notting Hill Gate,Colindale,2,4945,2081,17419.18292
Gloucester Road,South Harrow,1,4779,387,17421.41781
South Harrow,Gloucester Road,10,1516,5194,17421.41781
Borough,Woodford,0,1346,706,17422.39895
Woodford,Borough,10,4868,3254,17422.39895
Plaistow,Upminster,6,3634,1132,17423.32803
Upminster,Plaistow,3,727,1049,17423.32803
Alperton,Charing Cross,1,1624,7016,17423.96446
Charing Cross,Alperton,0,6491,741,17423.96446
Borough,West Finchley,1,1346,91,17423.99264
West Finchley,Borough,8,1550,3254,17423.99264
Lambeth North,South Woodford,0,1114,766,17425.76529
South Woodford,Lambeth North,2,4138,1319,17425.76529
Southgate,Westminster,22,3660,15466,17428.46431
Westminster,Southgate,0,1519,874,17428.46431
Cannon Street,Southgate,1,3874,874,17429.22616
Southgate,Cannon Street,1,3660,4698,17429.22616
Dollis Hill,Wood Green,2,2542,2146,17430.06546
Wood Green,Dollis Hill,4,6667,847,17430.06546
Oval,Stonebridge Park,1,3619,729,17430.53317
Stonebridge Park,Oval,0,1482,2544,17430.53317
Covent Garden,Northwick Park,0,424,1713,17431.5236
Northwick Park,Covent Garden,4,2114,4355,17431.5236
Mile End,Stamford Brook,3,7145,784,17431.56317
Stamford Brook,Mile End,0,1837,3759,17431.56317
Bromley-by-Bow,White City,5,2555,5966,17431.72636
White City,Bromley-by-Bow,0,2445,1613,17431.72636
Aldgate,West Acton,0,2886,488,17432.40508
West Acton,Aldgate,6,1172,7782,17432.40508
Greenford,Warren Street,24,2711,17309,17432.79748
Warren Street,Greenford,2,1913,1157,17432.79748
High Street Kensington,South Ruislip,0,2159,289,17433.33381
South Ruislip,High Street Kensington,7,1398,5427,17433.33381
Bethnal Green,North Acton,36,6798,3168,17433.78775
North Acton,Bethnal Green,11,3078,4660,17433.78775
Charing Cross,South Woodford,0,6491,766,17433.84313
South Woodford,Charing Cross,9,4138,7016,17433.84313
Stonebridge Park,Wimbledon,4,1482,6295,17434.51478
Wimbledon,Stonebridge Park,0,7073,729,17434.51478
Preston Road,White City,1,2358,5966,17435.30618
White City,Preston Road,0,2445,411,17435.30618
Bounds Green,High Street Kensington,17,4445,5427,17436.27856
High Street Kensington,Bounds Green,0,2159,778,17436.27856
Clapham North,Walthamstow Central,3,2846,5271,17437.17662
Walthamstow Central,Clapham North,14,17499,1238,17437.17662
Bayswater,Kingsbury,0,1571,1018,17440.07543
Kingsbury,Bayswater,0,2727,615,17440.07543
Becontree,Old Street,9,2329,15897,17440.09866
Old Street,Becontree,0,5364,456,17440.09866
Forest Hill,Hackney Central,1,2430,2440,17440.14653
Hackney Central,Forest Hill,2,3370,608,17440.14653
Kenton,Knightsbridge,0,1049,6821,17442.17552
Knightsbridge,Kenton,0,1125,768,17442.17552
Becontree,Mansion House,11,2329,7815,17443.08137
Mansion House,Becontree,1,516,456,17443.08137
Dagenham East,Leytonstone,2,1924,1844,17444.03184
Leytonstone,Dagenham East,0,6690,649,17444.03184
Southgate,Waterloo,38,3660,23466,17444.1281
Waterloo,Southgate,23,67372,874,17444.1281
Clapham Junction,Gospel Oak,19,6931,2025,17444.66748
Gospel Oak,Clapham Junction,15,1085,4969,17444.66748
Bethnal Green,Loughton,10,6798,655,17447.6197
Loughton,Bethnal Green,25,2730,4660,17447.6197
Kingsbury,Westbourne Park,0,2727,1347,17447.95514
Westbourne Park,Kingsbury,0,2416,1018,17447.95514
Holborn,Upney,0,1662,485,17448.5928
Upney,Holborn,20,1741,22346,17448.5928
King's Cross St. Pancras,Queensbury,6,28307,439,17450.03631
Queensbury,King's Cross St. Pancras,29,2905,33330,17450.03631
Leicester Square,South Kenton,0,985,261,17450.30086
